Date Of Death Year,Date Of Death Month,HHSRegion,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Note,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2019,2,United States,25-34 years,"4,389","1,612",36,269,82,0,75,21,16,24,56,307,48,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,2,United States,35-44 years,"6,207","3,620",53,829,203,,134,51,55,46,80,802,146,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,2,United States,45-54 years,"12,989","10,287",176,"2,814",520,11,285,351,136,187,114,"2,642",418,0,0,08/25/2021,,,,,,,,,,,,,,,,
2021,7,1,85 years and over,"3,254","3,137",37,419,62,172,30,131,68,56,68,906,182,30,17,08/25/2021,,,,,,,,,,,,,,,,
2021,7,2,0-4 years,114,102,0,,0,0,0,0,0,0,23,,0,0,0,08/25/2021,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,
2021,7,5,45-54 years,"2,184","1,959",24,470,77,,17,43,12,17,435,301,67,66,60,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,2,United States,5-14 years,439,264,,58,,0,32,,,,,17,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,2,United States,55-64 years,"30,603","27,770",478,"8,708","1,298",114,707,"1,708",393,487,217,"6,765","1,030",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,2,United States,65-74 years,"45,460","43,561",746,"13,488","2,041",615,941,"3,504",838,904,288,"10,038","2,010",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,2,United States,75-84 years,"56,610","54,789",889,"12,465","1,916","2,818","1,284","4,487","1,103","1,219",456,"13,255","3,234",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,2,United States,85 years and over,"72,532","70,274",855,"8,046","1,414","6,542","2,053","3,751","1,069","1,396",985,"21,027","5,219",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,3,United States,0-4 years,"2,134","1,893",16,30,0,0,47,,28,,247,34,14,0,0,08/25/2021,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2019,3,United States,15-24 years,"2,410",554,15,130,19,0,24,12,12,,39,67,,0,0,08/25/2021,,,,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,3,United States,25-34 years,"4,980","1,694",27,323,75,0,70,30,24,24,69,308,60,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,3,United States,35-44 years,"7,092","4,079",78,899,181,0,136,71,44,75,83,958,159,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,3,United States,45-54 years,"14,062","11,209",225,"3,066",598,15,292,368,128,212,113,"2,767",475,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,3,United States,5-14 years,463,278,,58,,0,12,,,0,,17,10,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,3,United States,55-64 years,"33,252","30,154",523,"9,583","1,409",106,692,"1,887",464,509,278,"7,181","1,121",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,3,United States,65-74 years,"49,661","47,518",767,"14,661","2,054",672,"1,090","3,902",943,"1,008",343,"11,033","2,196",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,3,United States,75-84 years,"61,545","59,602",910,"13,748","2,021","2,896","1,494","4,858","1,246","1,337",440,"14,460","3,628",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,3,United States,85 years and over,"79,804","77,427",994,"9,012","1,534","7,121","2,443","4,021","1,236","1,470","1,056","23,054","5,790",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,4,United States,0-4 years,"2,065","1,793",16,25,0,0,26,,28,12,220,27,15,0,0,08/25/2021,,,,,,,,,Suppressed (counts 1-9),,,,,,,
2019,4,United States,15-24 years,"2,353",568,,112,26,0,19,11,13,,36,64,16,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
2019,4,United States,25-34 years,"4,768","1,670",39,318,78,,39,40,19,19,66,318,53,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,4,United States,35-44 years,"6,815","3,870",63,870,196,,76,62,59,69,101,890,165,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,4,United States,45-54 years,"13,171","10,392",169,"2,958",555,,183,282,126,192,136,"2,597",413,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,4,United States,5-14 years,440,232,,60,,0,,10,,0,,17,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,United States,55-64 years,"30,916","27,994",467,"9,092","1,376",111,512,"1,637",406,480,254,"6,669","1,076",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,4,United States,65-74 years,"45,796","43,855",748,"13,673","1,921",588,801,"3,509",852,968,325,"10,131","2,073",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,4,United States,75-84 years,"57,242","55,258",873,"13,161","1,863","2,771","1,159","4,499","1,130","1,177",432,"13,173","3,421",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,4,United States,85 years and over,"72,201","70,052",868,"8,291","1,356","6,349","1,790","3,753","1,063","1,368",944,"21,175","5,222",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,5,United States,0-4 years,"2,165","1,857",10,38,0,0,16,,23,,219,28,10,0,0,08/25/2021,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2019,5,United States,15-24 years,"2,615",542,10,111,20,0,,17,10,,32,84,,0,0,08/25/2021,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,5,United States,25-34 years,"4,999","1,689",40,297,81,0,35,30,16,25,83,313,48,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,5,United States,35-44 years,"6,963","3,821",55,919,162,,64,49,37,54,65,903,142,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,5,United States,45-54 years,"13,590","10,576",168,"3,082",506,,141,301,121,200,117,"2,590",436,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,5,United States,5-14 years,465,251,,74,0,0,10,13,,,,12,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,5,United States,55-64 years,"31,303","28,173",456,"9,559","1,254",93,352,"1,614",366,455,269,"6,724","1,083",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,5,United States,65-74 years,"46,248","44,254",694,"14,436","2,003",610,616,"3,342",817,921,335,"10,022","2,063",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,5,United States,75-84 years,"57,344","55,413",846,"13,572","1,817","2,708",951,"4,432","1,162","1,205",480,"13,455","3,245",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,5,United States,85 years and over,"71,730","69,531",808,"8,616","1,374","6,307","1,557","3,636","1,077","1,371",926,"21,003","5,221",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,6,United States,0-4 years,"2,133","1,796",17,33,0,0,16,,21,,217,36,15,0,0,08/25/2021,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2019,6,United States,15-24 years,"2,609",581,16,122,20,0,11,17,14,11,39,64,,0,0,08/25/2021,,,,,,,,,,,,,,Suppressed (counts 1-9),,
2019,6,United States,25-34 years,"5,045","1,623",28,291,76,0,23,31,28,22,94,273,49,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,6,United States,35-44 years,"6,834","3,716",68,900,156,,44,47,42,55,91,831,149,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,6,United States,45-54 years,"13,044","10,020",154,"2,913",501,,115,291,126,176,118,"2,518",399,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,6,United States,5-14 years,500,237,,79,,0,,,,,,13,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,6,United States,55-64 years,"30,022","26,867",385,"9,235","1,185",105,326,"1,415",372,438,253,"6,358","1,033",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,6,United States,65-74 years,"44,157","42,130",697,"13,822","1,781",610,554,"3,136",779,852,297,"9,882","1,823",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,6,United States,75-84 years,"53,811","51,976",792,"12,938","1,821","2,537",834,"3,987","1,024","1,185",437,"12,347","3,139",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,6,United States,85 years and over,"67,836","65,619",724,"8,356","1,335","6,094","1,386","3,412","1,024","1,309",906,"19,510","4,956",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,7,United States,0-4 years,"2,094","1,755",14,25,0,0,,,23,,208,37,11,0,0,08/25/2021,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2019,7,United States,15-24 years,"2,673",517,,111,15,0,10,18,16,,36,71,21,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
2019,7,United States,25-34 years,"5,277","1,617",32,297,67,,25,36,19,26,79,306,43,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,7,United States,35-44 years,"7,099","3,834",75,850,171,,53,48,43,60,112,914,130,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,7,United States,45-54 years,"13,702","10,446",180,"3,045",502,,119,261,129,176,140,"2,640",423,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,7,United States,5-14 years,506,236,,77,,0,,17,,,,14,10,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,7,United States,55-64 years,"30,804","27,542",475,"9,530","1,214",92,291,"1,431",346,499,280,"6,524","1,022",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,7,United States,65-74 years,"44,791","42,631",694,"14,423","1,801",654,539,"2,870",716,849,357,"9,865","1,842",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,7,United States,75-84 years,"54,544","52,669",795,"13,179","1,735","2,562",823,"3,918","1,077","1,212",460,"12,511","3,200",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,7,United States,85 years and over,"68,337","66,165",751,"8,584","1,387","6,104","1,210","3,345","1,001","1,271",885,"19,607","5,199",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,8,United States,0-4 years,"2,106","1,805",12,23,0,0,11,0,24,,221,44,,0,0,08/25/2021,,,,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,8,United States,15-24 years,"2,588",545,,114,13,0,13,14,11,,35,82,16,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
2019,8,United States,25-34 years,"5,244","1,633",36,319,76,0,21,31,20,27,89,282,57,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,8,United States,35-44 years,"7,193","3,826",60,954,180,0,52,56,45,56,112,845,119,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,8,United States,45-54 years,"13,040","9,937",179,"2,911",481,,119,254,103,150,150,"2,453",429,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,8,United States,5-14 years,441,223,,60,,0,,12,,,,15,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,8,United States,55-64 years,"30,330","27,063",444,"9,361","1,172",111,287,"1,349",360,447,274,"6,473","1,007",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,8,United States,65-74 years,"44,755","42,612",674,"14,559","1,747",613,559,"2,820",754,859,366,"9,628","1,917",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,8,United States,75-84 years,"54,307","52,357",773,"13,572","1,698","2,604",785,"3,711","1,063","1,115",404,"12,399","3,125",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,8,United States,85 years and over,"67,780","65,506",714,"8,685","1,305","6,086","1,196","3,161",953,"1,265",927,"19,262","5,149",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,9,United States,0-4 years,"2,007","1,722",15,32,0,0,16,,21,,207,33,,0,0,08/25/2021,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,9,United States,15-24 years,"2,526",520,,122,14,0,,15,,,35,84,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,9,United States,25-34 years,"4,933","1,491",21,307,57,0,13,17,19,20,88,265,44,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,9,United States,35-44 years,"6,925","3,664",55,889,155,,33,48,41,56,107,829,154,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,9,United States,45-54 years,"12,689","9,828",167,"2,901",471,10,117,240,121,164,146,"2,466",400,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,9,United States,5-14 years,444,252,,76,,0,,16,,,,14,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,9,United States,55-64 years,"29,593","26,474",464,"8,989","1,190",110,284,"1,331",370,476,258,"6,266","1,011",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,9,United States,65-74 years,"43,385","41,362",701,"14,069","1,671",612,489,"2,781",776,787,333,"9,241","1,927",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,9,United States,75-84 years,"53,487","51,591",807,"13,145","1,709","2,597",768,"3,601","1,055","1,117",465,"12,039","3,188",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,9,United States,85 years and over,"67,244","65,085",720,"8,490","1,329","6,002","1,164","3,198",937,"1,255",846,"19,007","5,046",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,10,United States,0-4 years,"1,969","1,743",21,34,0,0,16,,28,,209,29,11,0,0,08/25/2021,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2019,10,United States,15-24 years,"2,595",536,10,114,22,0,,13,,,42,71,13,0,0,08/25/2021,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2019,10,United States,25-34 years,"5,064","1,629",31,287,83,0,33,42,22,30,97,254,50,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,10,United States,35-44 years,"7,017","3,851",58,905,195,,58,53,49,79,119,893,149,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,10,United States,45-54 years,"13,213","10,165",175,"2,925",471,10,129,272,143,191,156,"2,466",415,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,10,United States,5-14 years,419,228,,59,,0,,20,,0,13,18,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
2019,10,United States,55-64 years,"30,970","27,946",481,"9,516","1,251",97,329,"1,414",392,477,273,"6,567","1,096",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,10,United States,65-74 years,"46,454","44,359",763,"14,807","1,869",700,579,"3,012",796,918,321,"10,201","1,980",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,10,United States,75-84 years,"57,497","55,505",879,"13,888","1,794","2,924",809,"3,804","1,147","1,222",495,"12,821","3,509",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,10,United States,85 years and over,"72,949","70,597",768,"9,046","1,409","6,698","1,340","3,343","1,055","1,388",984,"20,604","5,490",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,11,United States,0-4 years,"1,959","1,765",16,26,0,0,17,,26,,224,31,22,0,0,08/25/2021,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2019,11,United States,15-24 years,"2,534",563,,113,18,0,11,12,14,,49,74,12,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
2019,11,United States,25-34 years,"4,966","1,722",25,326,66,0,29,26,42,24,89,292,39,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,11,United States,35-44 years,"6,924","3,905",88,876,193,,65,49,45,62,112,880,130,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,11,United States,45-54 years,"13,320","10,366",181,"2,898",531,15,124,287,108,203,138,"2,550",460,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,11,United States,5-14 years,453,255,,59,,0,14,15,,,13,14,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,11,United States,55-64 years,"31,274","28,113",475,"9,197","1,323",134,345,"1,455",405,504,265,"6,848","1,106",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,11,United States,65-74 years,"46,956","44,891",716,"14,144","1,981",724,617,"3,057",830,875,422,"10,439","2,126",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,11,United States,75-84 years,"57,736","55,752",821,"13,447","1,771","2,903",967,"3,948","1,162","1,304",475,"13,200","3,599",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,11,United States,85 years and over,"73,415","71,138",852,"8,686","1,461","6,858","1,342","3,361","1,134","1,444",968,"20,823","5,482",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,12,United States,0-4 years,"2,102","1,848",14,21,,0,43,,26,,260,33,20,0,0,08/25/2021,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2019,12,United States,15-24 years,"2,614",603,12,124,31,0,29,16,20,,54,62,16,0,0,08/25/2021,,,,,,,,,,,Suppressed (counts 1-9),,,,,
2019,12,United States,25-34 years,"5,262","1,850",38,293,68,0,48,42,22,34,122,333,57,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,12,United States,35-44 years,"7,378","4,244",82,887,224,,120,64,51,80,142,945,180,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,12,United States,45-54 years,"13,991","11,071",218,"2,966",592,,191,334,145,195,159,"2,878",425,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,12,United States,5-14 years,498,311,10,63,,0,26,11,,,11,18,11,0,0,08/25/2021,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2019,12,United States,55-64 years,"33,368","30,177",498,"9,382","1,419",113,557,"1,748",406,567,298,"7,432","1,233",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,12,United States,65-74 years,"49,508","47,336",834,"14,536","2,158",778,858,"3,569",868,971,388,"11,080","2,128",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,12,United States,75-84 years,"62,342","60,291",989,"13,675","2,022","3,299","1,132","4,600","1,285","1,335",517,"14,473","3,749",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,12,United States,85 years and over,"79,488","77,002",902,"9,017","1,597","7,320","1,782","3,942","1,195","1,491","1,085","22,598","5,892",0,0,08/25/2021,,,,,,,,,,,,,,,,
2020,1,United States,0-4 years,"2,099","1,878",23,33,0,0,57,,21,,237,39,14,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2020,1,United States,15-24 years,"2,596",647,11,113,29,0,38,,12,,39,83,12,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2020,1,United States,25-34 years,"5,217","1,899",32,321,80,0,118,31,22,25,83,329,63,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,1,United States,35-44 years,"7,585","4,352",86,929,253,0,197,70,54,59,75,972,170,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,1,United States,45-54 years,"14,424","11,429",204,"3,040",591,,360,301,137,201,162,"2,740",497,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,1,United States,5-14 years,471,273,,57,,0,32,11,10,,,15,,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2020,1,United States,55-64 years,"34,276","31,032",574,"9,692","1,396",115,788,"1,763",484,560,282,"7,479","1,226",,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,Suppressed (counts 1-9),
2020,1,United States,65-74 years,"52,551","50,414",839,"15,219","2,196",766,"1,185","3,934","1,050","1,055",362,"11,698","2,319",,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,Suppressed (counts 1-9),
2020,1,United States,75-84 years,"64,006","61,939",984,"14,074","2,101","3,032","1,598","5,095","1,398","1,408",493,"14,542","3,783",,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,1,United States,85 years and over,"81,451","79,045",942,"9,154","1,586","7,202","2,282","4,318","1,309","1,568","1,025","22,994","6,024",0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,2,United States,0-4 years,"2,001","1,784",18,37,0,0,44,,24,,228,43,15,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2020,2,United States,15-24 years,"2,403",557,12,102,26,0,29,11,15,,33,60,20,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,Suppressed (counts 1-9),,,,,
